,"(10,000)","(10,000)",流量份额↓,MoM 流量变化,国家/地区排名,每月访问量独立访客,每月访问量独立访客,访问持续时间,页面数/访问,跳出率
1,PH ,pornhub.com ,4.71%,9.58%,#15,277.4M,48.09M,00:11:19,11.26,19.70%
2,X ,xvideos.com ,3.48%I ,7.19%,#18,204.9M,34.22M,00:14:05,13.87,17.72%
3,,xhamster.com ,2.42%,8.37%,#29,142.9M,24.56M,00:14:09,12.03,23.17%
4,,chaturbate.c ...,2.32%,9.81%,#45,136.8M,19.32M,00:13:36,11.74,32.45%
5,,stripchat.com ,1.96%,9.64%,#42,115.4M,22.48M,00:08:45,8.10,31.09%
6,,eporner.com ,1.39%,↓4.72%,#49,81.66M,14.22M,00:11:52,11.20,25.72%
7,,spankbang.c ...,1.36%,↓9.59%,#61,80.17M,14.30M,00:11:04,10.51,26.93%
8,,dmm.co.jp ,1.15%,9.11%,#113,67.88M,7.201M,00:11:04,13.59,22.32%
9,,xnxx.com ,1.14%,↑1.42%,#32,67.21M,16.44M,00:12:36,12.74,19.90%
10,,missav.com ,1.10%,↓4.79%,#73,64.82M,7.578M,00:15:06,22.65,15.67%
11,LJ ,livejasmin.co ...,0.83%,13.18%,#177,49.07M,15.69M,00:03:24,2.83,74.46%
12,OF ,onlyfans.com ,0.81%,4.50%,#127,47.61M,10.02M,00:07:50,7.46,33.90%
13,,mnaspm.com ,0.67%,13.18%,#149,39.59M,10.70M,00:03:52,1.96,64.12%
14,,xhamsterlive ....,0.66%,6.22%,#142,38.78M,6.065M,00:12:01,12.66,26.04%
15,W ,faphouse.com ,0.56%,3.27%,#120,33.12M,12.64M,00:04:17,3.73,54.63%
16,,xhamster.desi ,0.50%,↓2.47%,#108,29.71M,7.387M,00:12:07,11.01,27.13%
17,,sxyprn.com ,0.44%,7.75%,#308,25.70M,2.426M,00:11:30,14.48,17.76%
18,,twinrdsyte.co ...,0.43%,↓18.65%,"#1,070",25.45M,7.282M,00:04:24,1.69,60.24%
19,,dlsite.com ,0.41%,9.59%,#420,24.42M,2.834M,00:08:18,9.39,26.64%
2020,Sup ,supjav.com ,0.40%,8.31%,#475,23.67M,1.829M,00:13:45,25.58,15.18%
2121,,noodlemaga ...,0.40%,↓1.72%,#161,23.50M,6.667M,00:08:25,12.03,33.10%
2222,,bunkr.si ,0.39%,3.88%,"#1,324",22.99M,2.861M,00:08:31,4.33,37.10%
2323,F95 ,f95zone.to ,0.38%,8.83%,"#1,212",22.21M,1.511M,00:09:34,13.93,19.32%
24,iX ,ixxx.com ,0.37%,↓9.08%,#170,22.04M,6.117M,00:08:54,6.33,34.24%
2525,,tktube.com ,0.34%,9.44%,#606,19.82M,2.380M,00:14:32,15.58,19.81%
26,34,rule34.xxx ,0.34%,↓6.75%,#145,19.75M,2.323M,00:11:28,41.38,14.66%
2722,,blurbreimbur ...,0.33%,24.53%,#106,19.58M,5.373M,00:05:14,3.62,35.05%
28,00,4chan.org,0.33%,12.43%,#728,19.33M,1.287M,00:14:14,10.79,17.92%
