rank,url
1,trilltrill.jp
2,tabelog.com
3,ubereats.com
4,doordash.com
5,allrecipes.com
6,kroger.com
7,ifood.com.br
8,instacart.com
9,cookpad.com
10,hotpepper.jp
11,toasttab.com
12,foodnetwork.com
13,opentable.com
14,tesco.com
15,food.google.com
16,shoptastic.io
17,kaufland.de
18,grubhub.com
19,zomato.com
20,woolworths.com.au
21,otzovik.com
22,sainsburys.co.uk
23,asda.com
24,square.site
25,bbcgoodfood.com
26,publix.com
27,recipetineats.com
28,dominos.com
29,swiggy.com
30,tasteofhome.com
31,kurashiru.com
32,gumgum.com
33,safeway.com
34,chefkoch.de
35,starbucks.com
36,recruit.co.jp
37,eater.com
38,webstaurantstore.com
39,marmiton.org
40,libbyapp.com
41,carrefour.fr
42,rewe.de
43,wolt.com
44,adgrx.com
45,eatingwell.com
46,heb.com
47,yemeksepeti.com
48,seriouseats.com
49,foodandwine.com
50,russianfood.com
51,aldi.us
52,loveandlemons.com
53,ah.nl
54,food.com
55,dianping.com
56,mitiendanube.com
57,nespresso.com
58,thekitchn.com
59,joinhomebase.com
60,parade.com
61,coles.com.au
62,mcdonalds.com
63,gnavi.co.jp
64,retty.me
65,restaurant-partners.com
66,resy.com
67,just-eat.co.uk
68,giallozafferano.it
69,ctfassets.net
70,lieferando.de
71,delishkitchen.tv
72,tokubai.co.jp
73,kuper.ru
74,sevenrooms.com
75,rewardany.com
76,sallysbakingaddiction.com
77,meijer.com
78,news.ntv.co.jp
79,1000.menu
80,delish.com
81,dropgame.jp
82,thespruceeats.com
83,lidl.fr
84,tablecheck.com
85,carrefour.es
86,glovoapp.com
87,tastesbetterfromscratch.com
88,obicnet.ne.jp
89,ocado.com
90,simplyrecipes.com
91,leclercdrive.fr
92,cmnw.jp
93,couchtuner.show
94,bonappetit.com
95,panerabread.com
96,torrentbay.st
97,tudogostoso.com.br
98,wholefoodsmarket.com
99,totalwine.com
100,samokat.ru
101,ze.delivery
102,morrisons.com
103,cuisineaz.com
104,jp.sharp
105,deliveroo.co.uk
106,woman.excite.co.jp
107,restaurantguru.com
108,migros.com.tr
109,wamgame.jp
110,vkusvill.ru
111,chipotle.com
112,olehdtv.com
113,macromatix.net
114,natashaskitchen.com
115,lidl.pl
116,exploretock.com
117,papajohns.com
118,thepioneerwoman.com
119,kaufland.com
120,solitalian.it
121,7shifts.com
122,ica.se
123,order.online
124,macaro-ni.jp
125,subway.com
126,spendwithpennies.com
127,pizzahut.com
128,fredmeyer.com
