rank,url
1,nih.gov
2,healthline.com
3,mayoclinic.org
4,webmd.com
5,clevelandclinic.org
6,cvs.com
7,aarp.org
8,athenahealth.com
9,uworld.com
10,walgreens.com
11,v2i8b.com
12,simplepractice.com
13,doctolib.fr
14,medicalnewstoday.com
15,kisskh.co
16,cdc.gov
17,nhs.uk
18,iherb.com
19,imss.gob.mx
20,janeapp.com
21,medlineplus.gov
22,uptodate.com
23,dmed.kz
24,availity.com
25,psychologytoday.com
26,amboss.com
27,questdiagnostics.com
28,msdmanuals.com
29,ecwcloud.com
30,who.int
31,apteka.ru
32,aamc.org
33,myfitnesspal.com
34,lww.com
35,goodrx.com
36,kaipoke.biz
37,drugs.com
38,verywellhealth.com
39,analdin.xxx
40,1mg.com
41,labcorp.com
42,pointclickcare.com
43,medscape.com
44,fda.gov
45,hopkinsmedicine.org
46,practicefusion.com
47,anthem.com
48,healthgrades.com
49,medicare.gov
50,hhs.gov
51,tuasaude.com
52,athena.io
53,radiopaedia.org
54,doctoralia.com.br
55,thermofisher.com
56,health.mail.ru
57,jabraenhance.com
58,abczdrowie.pl
59,advancedmd.com
60,doxy.me
61,ema.md
62,eclinicalweb.com
63,uhcprovider.com
64,gympass.com
65,selcukecza.com.tr
66,m3.com
67,therapynotes.com
68,bmj.com
69,atitesting.com
70,health.amazon.com
71,drogaraia.com.br
72,shop-apotheke.com
73,cms.gov
74,webpt.com
75,eapteka.ru
76,alliance-healthcare.com.tr
77,vinmec.com
78,prodoctorov.ru
79,clinicorp.com
80,sutterhealth.org
81,elsevier.es
82,tabletki.ua
83,menshealth.com
84,betterhelp.com
85,reliaslearning.com
86,verywellmind.com
87,consultaremedios.com.br
88,doccheck.com
89,my-personaltrainer.it
90,vidal.ru
91,heart.org
92,mountsinai.org
93,drogasil.com.br
94,jamanetwork.com
95,nhathuoclongchau.com.vn
96,zocdoc.com
97,cliniko.com
98,providence.org
99,mscoldness.com
100,officeally.com
101,mckesson.com
102,express-scripts.com
103,totalpass.com
104,mailsuite.com
105,chemistwarehouse.com.au
106,cancer.gov
107,doctolib.de
108,invitro.ru
109,eyefinity.com
110,deltadentalins.com
111,health.usnews.com
112,sprosivracha.com
113,znanylekarz.pl
114,profarma.com.br
115,health.harvard.edu
116,w12app.com.br
117,uclahealth.org
118,portalfranq.com.mx
119,amil.com.br
120,phreesia.net
121,kareo.com
122,thelancet.com
123,naxadrug.com
124,healtheintent.com
125,medonet.pl
126,hesaplama.net
127,kp.org
128,doximity.com
129,covermymeds.com
130,health.clevelandclinic.org
131,veevavault.com
132,cardinalhealth.com
133,womenshealthmag.com
134,followmyhealth.com
135,studentdoctor.net
136,zennioptical.com
137,paho.org
138,oracleindustry.com
139,uteka.ru
140,blocksite.co
141,diagnosticosdobrasil.com.br
142,nejm.org
143,simplesdental.com
144,gsuplementos.com.br
145,eyemedvisioncare.com
146,athomedaily.com
147,halodoc.com
148,nhs.net
149,rlsnet.ru
150,movacal.net
151,edh.tw
152,kipu-11004.s3.amazonaws.com
153,health.com
154,tpp-uk.com
155,massgeneralbrigham.org
156,dynasplint.com
157,b17.ru
158,health.baidu.com
159,test.de
160,suckhoedoisong.vn
161,sld.cu
162,entrykeyid.com
163,dentalofficetoolkit.com
164,pebmed.com.br
165,clientsecure.me
166,kenhub.com
167,ahajournals.org
168,pmpaware.net
169,doz.pl
170,fitbit.com
171,babycenter.com
172,youlai.cn
173,feegow.com
174,aligntech.com
175,resmed.com
176,paguemenos.com.br
177,drogariasaopaulo.com.br
178,mdcalc.com
179,mp.pl
180,invisalign.com
181,cronometer.com
182,alodokter.com
183,vidal.fr
184,iclinic.com.br
185,adventhealth.com
186,redcross.org
187,grupocto.com
188,hapvida.com.br
189,isciii.es
190,clalit.co.il
191,mohw.gov.tw
192,farmazon.com.tr
193,parenting.pl
194,amerisourcebergen.com
195,caremark.com
196,nice.org.uk
197,docmorris.de
198,physio-pedia.com
199,theranest.com
200,emergencyemail.org
201,aafp.org
202,thebump.com
203,libvio.fun
204,nm.org
205,shoppersdrugmart.ca
206,bswhealth.com
207,diag.pl
208,classpass.com
209,new-innov.com
210,pmda.go.jp
211,mskcc.org
212,miodottore.it
213,eyebuydirect.com
214,trinity-health.org
215,verywellfit.com
216,login.nhs.uk
217,myprotein.com
218,fs.nhs.net
219,doterra.com
220,rossmann.de
221,portaldadrogaria.com.br
222,healthstream.com
223,planetazdorovo.ru
224,revolutionehr.com
225,helsi.pro
226,medlatec.vn
227,gemotest.ru
228,mercola.com
229,psychcentral.com
230,furnishedfinder.com
231,e-prescription.gr
232,edn.fr
233,cvshealth.com
234,intakeq.com
235,iqhealth.com
236,uchealth.org
237,truelearn.net
238,osmosis.org
239,medicamentosplm.com
240,medicinenet.com
241,practo.com
242,passmedicine.com
243,therapyportal.com
244,polimed.com.br
245,nextgen.com
246,leafly.com
247,doctoralia.com.mx
248,eisz.kz
249,superdrug.com
250,pg.com
251,kegg.jp
252,stolichki.ru
253,northwell.edu
254,unimed.coop.br
255,headway.co
256,dentalxchange.com
257,dasa.com.br
258,cancer.org
259,myherbalife.com
260,upmc.com
261,stanfordhealthcare.org
262,blueshieldca.com
263,med.or.jp
264,aemps.es
265,minsalud.gov.co
266,whattoexpect.com
267,trainerize.com
268,nyp.org
269,vademecum.es
270,zdravcity.ru
271,helloalma.com
272,promptemr.com
273,ndsoft.jp
274,vynetrellis.com
275,kidshealth.org
276,medhub.com
277,lifelabs.com
278,patientaccess.com
279,krasotaimedicina.ru
280,lilly.com
281,denticon.com
282,nyumc.org
283,healthdirect.gov.au
284,altibbi.com
285,ama-assn.org
286,kipuworks.com
287,medcity.net
288,acponline.org
289,qgenda.com
290,planetfitness.com
291,esosuite.net
292,iskoop.org
293,dentally.co
294,ascension.org
295,radiomemory.com.br
296,atriumhealth.org
297,fahorro.com
298,megapteka.ru
299,warbyparker.com
300,verbraucherzentrale.de
