rank,library,avg. date
1,emotion-core,2024-09-21
2,popper.js,2024-09-15
3,onnxruntime-web,2024-09-04
4,tensorflow,2024-09-04
5,amazeui,2024-09-03
6,highcharts,2024-08-18
7,shepherd,2024-08-01
8,spin.js,2024-07-19
9,sir-trevor-js,2024-06-10
10,google_maps,2024-05-16
11,konva,2024-05-08
12,preact,2024-05-01
13,UAParser.js,2023-12-24
14,tsparticles-engine,2023-12-05
15,next,2023-10-21
16,exceljs,2023-10-19
17,jsondiffpatch,2023-09-18
18,antv-g2,2023-08-23
19,dompurify,2023-08-05
20,handlebars.js,2023-08-01
21,dash-core-components,2023-07-09
22,angular,2023-06-19
23,vConsole,2023-06-01
24,tesseract.js,2023-05-29
25,alpinejs,2023-05-06
26,imask,2023-04-09
27,tempus-dominus,2023-04-01
28,uppy,2023-03-17
29,jqueryui,2023-02-24
30,autosize.js,2023-02-15
31,bignumber.js,2023-01-10
32,darkreader,2022-11-30
33,incremental-dom,2022-10-24
34,mqtt,2022-10-13
35,wretch,2022-08-01
36,mdb-ui-kit,2022-07-22
37,trix,2022-06-17
38,dexie,2022-04-24
39,svelte,2022-02-28
40,readability,2022-02-28
41,gsap,2022-01-26
42,blockly,2022-01-09
43,qs,2021-12-22
44,core-js,2021-12-10
45,sweetalert2,2021-11-26
46,html5-qrcode,2021-11-21
47,bootstrap,2021-11-16
48,dash-html-components,2021-11-13
49,google-closure-library,2021-11-11
50,leaflet.markercluster,2021-09-22
51,mapbox-gl,2021-09-07
52,axios,2021-08-26
53,KaTeX,2021-08-21
54,jss,2021-08-03
55,layui,2021-07-27
56,driver.js,2021-06-24
57,flux,2021-06-01
58,highlight.js,2021-05-31
59,lottie-web,2021-05-15
60,fabric.js,2021-04-12
61,aspnet-signalr,2021-02-17
62,microsoft-signalr,2021-02-17
63,ethers,2021-02-17
64,bodymovin,2021-02-16
65,echarts,2021-02-11
66,workbox-sw,2021-02-04
67,smooth-scrollbar,2021-02-03
68,billboard.js,2021-02-03
69,riot,2021-01-24
70,vue2,2021-01-13
71,protobufjs,2021-01-13
72,Sortable,2021-01-02
73,dashjs,2020-12-31
74,canvaskit-wasm,2020-12-26
75,sentry-browser,2020-12-12
76,pusher,2020-12-07
77,muuri,2020-12-02
78,leaflet,2020-11-01
79,marked,2020-10-23
80,moment-timezone,2020-10-04
81,flv.js,2020-09-25
82,fuzzysort,2020-09-25
83,amplitudejs,2020-09-10
84,history,2020-08-06
85,boomerangjs,2020-07-31
86,webrtc-adapter,2020-07-30
87,interact.js,2020-07-08
88,clipboard.js,2020-06-27
89,Turf.js,2020-06-12
90,pixi.js,2020-06-09
91,overlayscrollbars,2020-06-04
92,reselect,2020-05-20
93,prop-types,2020-05-13
94,socket.io,2020-05-12
95,pdf-lib,2020-05-11
96,RecordRTC,2020-04-21
97,nprogress,2020-04-19
98,fuse.js,2020-04-19
99,xregexp,2020-04-09
100,jsdiff,2020-04-02
101,pace,2020-03-31
102,device.js,2020-03-01
103,mediaelement,2020-02-28
104,pdfmake,2020-01-30
105,json5,2020-01-30
106,two.js,2020-01-22
107,sanitize-html,2020-01-04
108,FlexSearch,2020-01-01
109,tween.js,2019-12-21
110,jimp,2019-12-21
111,headroom,2019-12-17
112,lightgallery-js,2019-11-27
113,htm,2019-11-25
114,ScrollTrigger,2019-11-12
115,pulltorefreshjs,2019-11-01
116,dayjs,2019-10-20
117,three.js,2019-10-19
118,vanilla-tilt,2019-10-09
119,cleave.js,2019-09-08
120,xlsx,2019-09-08
121,sizzle,2019-08-30
122,vuex,2019-08-15
123,jquery,2019-08-07
124,remarkable,2019-08-07
125,font-awesome,2019-07-22
126,jsrsasign,2019-07-20
127,paper.js,2019-07-20
128,intro.js,2019-07-18
129,opentype.js,2019-07-10
130,foundation,2019-07-01
131,FileSaver.js,2019-06-28
132,superagent,2019-06-19
133,lazysizes,2019-06-08
134,cropperjs,2019-06-03
135,moment.js,2019-05-31
136,gl-matrix,2019-05-13
137,pako,2019-05-05
138,collect.js,2019-05-01
139,viewerjs,2019-04-23
140,openpgp,2019-04-21
141,tippy.js,2019-04-13
142,mithril,2019-04-07
143,phaser,2019-04-04
144,svg.js,2019-03-30
145,babel-standalone,2019-03-02
146,jquery-infinitescroll,2019-02-21
147,rough.js,2019-02-09
148,redux-thunk,2019-01-31
149,body-scroll-lock,2019-01-30
150,color-thief,2019-01-30
151,fingerprintjs2,2019-01-28
152,feature.js,2019-01-24
153,html2canvas,2019-01-21
154,howler,2019-01-17
155,scrollmonitor,2019-01-17
156,dropzone,2019-01-16
157,polymer,2019-01-09
158,bowser,2019-01-06
159,aframe,2019-01-03
160,docute,2018-12-25
161,backbone.js,2018-12-19
162,jspdf,2018-12-13
163,jsoneditor,2018-12-07
