rank,library,frequency
1,jquery,17701
2,core-js,14685
3,underscore.js,4011
4,lodash.js,3993
5,jqueryui,3788
6,react,2953
7,bootstrap,2460
8,next,2455
9,lazysizes,2237
10,preact,2189
11,html5shiv,1421
12,jquery.imagesloaded,1383
13,modernizr,1265
14,moment.js,1137
15,boomerangjs,1069
16,fancybox,957
17,masonry,921
18,font-awesome,877
19,vue,856
20,yepnope,834
21,jquery_lazyload,800
22,co,763
23,hammer.js,752
24,froala-editor,642
25,analytics.js,624
26,picturefill,594
27,gsap,574
28,webfont,566
29,dompurify,556
30,vue2,538
31,require.js,530
32,backbone.js,489
33,jquery.isotope,468
34,aos,457
35,angular,445
36,UAParser.js,417
37,google_maps,410
38,axios,406
39,mustache.js,392
40,reqwest,390
41,EventEmitter,382
42,handlebars.js,378
43,velocity,373
44,alpinejs,311
45,ifvisible,298
46,flatpickr,297
47,js-xss,292
48,flexslider,281
49,datatables,281
50,Chart.js,279
51,clipboard.js,275
52,angular-loader,274
53,particles.js,274
54,svelte,273
55,flickity,273
56,es6-promise,273
57,prop-types,269
58,mediaelement,264
59,moment-timezone,250
60,lottie-web,249
61,respond.js,242
62,sizzle,239
63,docute,232
64,prism,232
65,foundation,232
66,bowser,222
67,bodymovin,220
68,micromodal,214
69,jquery-mobile,210
70,FileSaver.js,209
71,svg.js,209
72,draggabilly,205
73,fastclick,201
74,fingerprintjs2,196
75,tsparticles-engine,196
76,scrollmagic,192
77,leaflet,188
78,enquire.js,171
79,imask,170
80,pubsub-js,162
81,device.js,159
82,stroll.js,158
83,when,156
84,mousetrap,155
85,packery,153
86,toastr.js,149
87,skrollr,145
88,headroom,144
89,noUiSlider,139
90,iScroll,138
91,webcomponentsjs,136
92,qrcodejs,136
93,jsencrypt,134
94,jquery-tools,133
95,yui,132
96,spin.js,131
97,highlight.js,123
98,autosize.js,123
99,raven.js,121
100,socket.io,121
101,highcharts,117
102,plyr,117
103,pako,116
104,dayjs,112
105,pusher,110
106,sentry-browser,107
107,sweetalert2,102
108,emojione,101
109,amazeui,101
110,simplebar,99
111,knockout,99
112,outdated-browser,96
113,jquery-timeago,96
114,tether,91
115,d3,89
116,fuse.js,81
117,instafeed.js,80
118,dropzone,80
119,howler,80
120,animejs,80
121,autotrack,78
122,dashjs,77
123,prototype,76
124,mailcheck,75
125,exif-js,74
126,dexie,74
127,script.js,73
128,tinycolor,73
129,node-waves,73
130,htm,72
131,zepto,72
132,URI.js,72
133,vuex,70
134,headjs,69
135,bootbox.js,67
136,reconnecting-websocket,66
137,body-scroll-lock,65
138,camanjs,64
139,datamaps,64
140,canvaskit-wasm,63
141,jquery-infinitescroll,63
142,processing.js,62
143,gss-engine,61
144,fullcalendar,61
145,cleave.js,59
146,soundmanager2,59
147,jszip,59
148,odometer.js,58
149,nprogress,58
150,Sortable,57
151,sweetalert,57
152,raphael,55
153,jsbarcode,52
154,tippy.js,52
155,redux,51
156,scrollmonitor,51
157,pace,51
158,flot,48
159,three.js,48
160,awesomplete,48
161,cash,47
162,aframe,47
163,protobufjs,46
164,store.js,44
165,hogan.js,43
166,overlayscrollbars,43
167,numeral.js,41
168,scrollReveal.js,41
169,dot,40
170,dojo,39
171,EaselJS,39
172,bluebird,38
173,snap.svg,38
174,progressbar.js,38
175,tweenjs,37
176,turbolinks,37
177,epub.js,36
178,localforage,36
179,tween.js,36
180,javascript-state-machine,35
181,SoundJS,34
182,mootools,34
183,nunjucks,33
184,xregexp,32
185,screenfull.js,31
186,vivus,30
187,material-design-lite,30
188,materialize,29
189,codemirror,29
190,sjcl,28
191,cropperjs,28
192,is_js,28
193,quill,27
194,labjs,27
195,fabric.js,26
196,blueimp-load-image,26
197,blockly,26
198,mapbox-gl,26
199,mixitup,25
200,intro.js,25
201,sockjs-client,25
202,echarts,25
203,feather-icons,24
204,jspdf,24
205,highmaps,23
206,file-uploader,23
207,aspnet-signalr,23
208,microsoft-signalr,23
209,semantic-ui,22
210,zeroclipboard,22
211,underscore.string,22
212,pdfmake,22
213,marked,22
214,ramda,21
215,async,20
216,basket.js,20
217,rsvp,20
218,html2canvas,20
219,extjs,19
220,PapaParse,19
