rank,library,star
1,react,227345
2,vue,207675
3,bootstrap,169980
4,d3,108431
5,axios,105194
6,three.js,101690
7,angular,95676
8,font-awesome,73503
9,Chart.js,64345
10,socket.io,60899
11,redux,60788
12,echarts,60144
13,lodash.js,59622
14,jquery,59143
15,angular-loader,58851
16,semantic-ui,51094
17,animejs,49591
18,moment.js,47948
19,dayjs,46648
20,admin-lte,43902
21,pixi.js,43557
22,babel-standalone,43149
23,quill,43118
24,leaflet,40958
25,materialize,38860
26,phaser,36926
27,preact,36558
28,aspnet-signalr,35185
29,microsoft-signalr,35185
30,xls,34971
31,xlsx,34971
32,tesseract.js,34652
33,date-fns,34439
34,clipboard.js,33981
35,immutable,32922
36,marked,32796
37,material-design-lite,32269
38,html2canvas,30392
39,bodymovin,30338
40,lottie-web,30338
41,popper.js,29656
42,foundation,29652
43,layui,29457
44,Sortable,29411
45,jspdf,28997
46,uppy,28931
47,particles.js,28885
48,fabric.js,28707
49,vuex,28407
50,async,28147
51,backbone.js,28094
52,alpinejs,27926
53,underscore.js,27298
54,codemirror,26761
55,aos,26498
56,plyr,26346
57,nprogress,26057
58,modernizr,25630
59,feather-icons,24838
60,localforage,24730
61,core-js,24358
62,mdb-ui-kit,24157
63,hammer.js,24080
64,iview,23980
65,howler,23768
66,ramda,23756
67,highlight.js,23525
68,flv.js,22888
69,intro.js,22764
70,redux-saga,22536
71,driver.js,22443
72,sweetalert,22398
73,scrollReveal.js,22336
74,polymer,22041
75,fingerprintjs2,21740
76,FileSaver.js,21529
77,dash-core-components,21161
78,dash-html-components,21161
79,bluebird,20445
80,rough.js,19841
81,handsontable,19781
82,gsap,19508
83,darkreader,19414
84,reselect,19026
85,trix,18958
86,fastclick,18665
87,skrollr,18532
88,fullcalendar,18446
89,mo-js,18368
90,tensorflow,18353
91,KaTeX,18194
92,fuse.js,18065
93,dropzone,18058
94,cleave.js,17954
95,handlebars.js,17931
96,draggable,17889
97,redux-thunk,17764
98,lazysizes,17463
99,flux,17434
100,emotion-core,17410
101,velocity,17282
102,sweetalert2,17208
103,less.js,17003
104,vConsole,16746
105,matter-js,16619
106,superagent,16580
107,aframe,16576
108,mustache.js,16418
109,masonry,16390
110,flatpickr,16120
111,medium-editor,16041
112,pace,15678
113,vivus,15184
114,zepto,14996
115,q.js,14937
116,scrollmagic,14882
117,riot,14819
118,uuid,14515
119,paper.js,14425
120,showdown,14204
121,onnxruntime-web,14095
122,store.js,14017
123,mithril,13977
124,snap.svg,13935
125,jimp,13856
126,dompurify,13654
127,exceljs,13561
128,qrcodejs,13511
129,mui,13480
130,amazeui,13478
131,single-spa,13235
132,cropperjs,12989
133,shepherd,12988
134,redux-persist,12933
135,require.js,12930
136,iScroll,12876
137,smartcrop,12827
138,turbolinks,12727
139,color-thief,12453
140,PapaParse,12421
141,blockly,12381
142,FlexSearch,12320
143,interact.js,12294
144,workbox-sw,12269
145,prism,12230
146,antv-g2,12081
147,highcharts,11977
148,highmaps,11977
149,pell,11944
150,toastr.js,11942
151,tippy.js,11906
152,co,11873
153,card,11649
154,mousetrap,11647
155,pdfmake,11601
156,barba.js,11586
157,jsoneditor,11531
158,dexie,11419
159,konva,11345
160,respond.js,11332
161,ol3,11282
162,raphael,11263
163,jqueryui,11246
164,vega,11166
165,mapbox-gl,11055
166,jquery.isotope,11042
167,svg.js,11038
168,headroom,10856
169,muuri,10774
170,acorn,10473
171,falcor,10472
172,knockout,10448
173,dom-to-image,10315
174,chroma-js,10084
175,trianglify,10064
176,picturefill,9892
177,html5shiv,9881
178,protobufjs,9845
